item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP0470,FD,rF_or_X_D,extension_gate,partial,7,3,4,42.9,0,0,,,"run with this extension enabled, and again with it disabled",Ext_F,extensions/FD/fdext_regs.sail:288,opcode_sweep.py extensions/FD/fdext_regs.sail
TP2335,sys,flush_TLB,helper_function,partial,7,3,4,42.9,0,1,,match tlb[i],execute an instruction that calls this helper: SFENCE_VMA,flush_TLB() reached via 1 instruction(s),sys/vmem_tlb.sail:186,opcode_sweep.py extensions/I/base_insts.sail
TP2040,postlude,run_hart_waiting,unclassified,partial,30,13,17,43.3,0,1,,if shouldWakeForInterrupt(),read the guard and decide what arranges it,,postlude/step.sail:21,opcode_sweep.py postlude/step.sail
TP0033,core,hartSupports,extension_gate,partial,78,34,44,43.6,0,0,,,"run with this extension enabled, and again with it disabled",Ext_D,core/extensions.sail:51,opcode_sweep.py core/extensions.sail
TP0399,FD,currentlyEnabled,extension_gate,partial,45,20,25,44.4,0,0,,,"run with this extension enabled, and again with it disabled",Ext_Zdinx,extensions/FD/dext_insts.sail:9,opcode_sweep.py extensions/FD/dext_insts.sail
TP1666,Zicbom,cbop_priv_check,helper_function,partial,9,4,5,44.4,0,1,,"match (p, mCBIE, sCBIE)",execute an instruction that calls this helper: ZICBOM,cbop_priv_check() reached via 1 instruction(s),extensions/Zicbom/zicbom_insts.sail:50,opcode_sweep.py extensions/Zicbom/zicbom_insts.sail
TP2220,sys,split_misaligned,helper_function,partial,9,4,5,44.4,0,0,,,"execute an instruction that calls this helper: SSPOPCHK, SSPUSH, STORE, STORECON, STORE_FP, VMTYPE, VSRETYPE, VSSEGTYPE, ...",split_misaligned() reached via 8+ instruction(s),sys/split_access_utils.sail:65,opcode_sweep.py extensions/cfi/zicfiss_insts.sail extensions/I/base_insts.sail extensions/A/zalrsc_insts.sail
TP1999,postlude,is_CSR_accessible,helper_function,partial,38,17,21,44.7,0,1,,"match (csr, priv, access_type)","execute an instruction that calls this helper: CSRImm, CSRReg",is_CSR_accessible() reached via 2 instruction(s),postlude/csr_end.sail:164,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP2148,sys,pmaCheck,memory_op,partial,45,21,24,46.7,0,3,yes,"match matching_pma_region(pma_regions, paddr, width) AND match misaligned_exception AND let canAccess : bool = match access",issue this kind of memory access,InstructionFetch,sys/mem.sail:91,opcode_sweep.py sys/mem.sail
TP0148,core,legalize_tvec,helper_function,partial,19,9,10,47.4,0,2,yes,let v : Mtvec = match trapVectorMode(v[Mode]) AND _         => match xtvec_mode_reserved_behavior,"execute an instruction that calls this helper: CSRImm, CSRReg",legalize_tvec() reached via 2 instruction(s),core/sys_regs.sail:473,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
