name,extension_group,signature,operand_types,enum_operands,forms,encdec_clauses,compressed,config_prerequisites,source
C_LW,C,"(bits(5), cregidx, cregidx)",bits(5);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:51
C_LD,C,"(bits(5), cregidx, cregidx)",bits(5);cregidx;cregidx,,1,1,True,xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:68
C_SW,C,"(bits(5), cregidx, cregidx)",bits(5);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:86
C_SD,C,"(bits(5), cregidx, cregidx)",bits(5);cregidx;cregidx,,1,1,True,xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:103
C_ADDI,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,rsd != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:121
C_JAL,C,(bits(11)),bits(11),,1,1,True,xlen == 32 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:139
C_ADDIW,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,rsd != zreg & xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:153
C_LI,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:167
C_ADDI16SP,C,(bits(6)),bits(6),,1,1,True,nzimm != 0b000000 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:183
C_LUI,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,rd != sp & imm != 0b000000 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:199
C_SRLI,C,"(bits(6), cregidx)",bits(6);cregidx,,1,1,True,(xlen == 64 | shamt[5] == 0b0) & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:218
C_SRAI,C,"(bits(6), cregidx)",bits(6);cregidx,,1,1,True,(xlen == 64 | shamt[5] == 0b0) & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:234
C_ANDI,C,"(bits(6), cregidx)",bits(6);cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:250
C_SUB,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:266
C_XOR,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:282
C_OR,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:298
C_AND,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:314
C_SUBW,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:330
C_ADDW,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:347
C_J,C,(bits(11)),bits(11),,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:364
